Model,eval_loss,eval_accuracy,eval_f1,eval_matthews_correlation,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
Adaptive,0.462761968,0.83531971,0.325549508,0.788454645,0.329709517,0.351535399,23.2482,1403.936,21.937,1
Adaptive,0.415537149,0.850669445,0.481779107,0.809640654,0.491588685,0.507002999,23.1245,1411.446,22.055,2
Adaptive,0.389121145,0.867520451,0.582031747,0.829840013,0.587288013,0.583567271,23.1336,1410.89,22.046,3
Adaptive,0.395165384,0.868500873,0.616982858,0.831440696,0.613463152,0.629822003,23.1791,1408.125,22.003,4
Adaptive,0.42270875,0.866478752,0.612487988,0.828860777,0.6069221,0.622509987,23.1839,1407.828,21.998,5
Adaptive,0.457132608,0.861178345,0.589614876,0.82253542,0.610667966,0.593612448,23.1686,1408.76,22.013,6
Adaptive,0.468816996,0.864364717,0.609221904,0.826236386,0.604818018,0.620529792,23.304,1400.577,21.885,7
Adaptive,0.505966783,0.862465149,0.617022439,0.823762852,0.623994117,0.62322428,23.203,1406.674,21.98,8
Adaptive,0.526927233,0.863047275,0.612618947,0.82463057,0.619569054,0.617731669,23.144,1410.257,22.036,9
Adaptive,0.543545008,0.857409847,0.609417556,0.817047058,0.60924129,0.614712211,23.1197,1411.742,22.059,10
Baseline,0.409966737,0.853763902,0.47586433,0.812257478,0.495024293,0.498648971,22.9754,1420.606,22.198,1
Baseline,0.371504813,0.868439597,0.589023944,0.832057657,0.609383712,0.587566896,22.7403,1435.294,22.427,2
Baseline,0.37433511,0.870002145,0.609868903,0.833163117,0.60716607,0.619437827,22.8538,1428.163,22.316,3
Baseline,0.386381,0.871932351,0.631652259,0.8361874,0.628383531,0.661410112,22.7169,1436.771,22.45,4
Baseline,0.40441373,0.872391924,0.632784155,0.836394548,0.63018367,0.642443968,22.7101,1437.203,22.457,5
Baseline,0.427031994,0.870706823,0.640704095,0.834249656,0.644831809,0.642916128,22.7408,1435.264,22.427,6
Baseline,0.463587612,0.866141732,0.635119619,0.828698963,0.634431591,0.6525867,22.7509,1434.626,22.417,7
Baseline,0.506530344,0.865865989,0.633102142,0.827918437,0.634242572,0.646075958,22.7694,1433.46,22.399,8
Baseline,0.523674309,0.865865989,0.635014509,0.827934524,0.640343959,0.647239256,22.7908,1432.113,22.377,9
Baseline,0.540983737,0.862036214,0.636264806,0.822951388,0.636594897,0.646073143,22.7397,1435.333,22.428,10